+COPN: "00101","Test PLMN 1-1"
+COPN: "00102","Test PLMN 1-2"
+COPN: "00201","Test PLMN 2-1"
+COPN: "20201","GR COSMOTE"
+COPN: "20205","vodafone GR"
+COPN: "20209","WIND GR"
+COPN: "20210","WIND GR"
+COPN: "20217","NOVA GR"
+COPN: "20404","vodafone NL"
+COPN: "20408","NL KPN"
+COPN: "20412","NL Telfort"
+COPN: "20416","T-Mobile NL"
+COPN: "20420","Orange NL"
+COPN: "20601","Proximus"
+COPN: "20610","Orange B"
+COPN: "20620","BASE"
+COPN: "20801","Orange F"
+COPN: "20802","F-Contact"
+COPN: "20809","F SFR"
+COPN: "20810","F SFR"
+COPN: "20811","SFR FEMTO"
+COPN: "20813","F - Contact"
+COPN: "20815","Free"
+COPN: "20816","Free"
+COPN: "20820","F-Bouygues Telecom"
+COPN: "20888","F - Contact"
+COPN: "21201","vala"
+COPN: "21210","Monaco"
+COPN: "21303","AndorraTelecom"
+COPN: "21401","vodafone ES"
+COPN: "21403","Orange SP"
+COPN: "21404","YOIGO"
+COPN: "21407","Movistar"
+COPN: "21601","Telenor HU"
+COPN: "21603","Digi.Mobil HU"
+COPN: "21630","Telekom HU"
+COPN: "21670","vodafone HU"
+COPN: "21803","HT ERONET"
+COPN: "21805","m:tel"
+COPN: "21890","BH Mobile"
+COPN: "21901","HT HR"
+COPN: "21902","Tele2 HR"
+COPN: "21910","A1 HR"
+COPN: "22001","Telenor SRB"
+COPN: "22003","mt:s"
+COPN: "22004","T-Mobile CG"
+COPN: "22005","Vip SRB"
+COPN: "22101","vala"
+COPN: "22102","IPKO"
+COPN: "22201","I TIM"
+COPN: "22210","vodafone IT"
+COPN: "22250","ILIAD"
+COPN: "22288","WINDTRE"
+COPN: "22601","RO Vodafone RO"
+COPN: "22603","TELEKOM.RO"
+COPN: "22605","RO Digi.Mobil"
+COPN: "22610","RO ORANGE"
+COPN: "22801","Swisscom"
+COPN: "22802","Sunrise"
+COPN: "22803","Salt"
+COPN: "22807","In&Phone"
+COPN: "22808","CHE  Tele2 Switzerland"
+COPN: "23001","T-Mobile CZ"
+COPN: "23002","O2 - CZ"
+COPN: "23003","Vodafone CZ"
+COPN: "23101","Orange SK"
+COPN: "23102","Telekom SK"
+COPN: "23103","SWAN SK"
+COPN: "23106","O2 - SK"
+COPN: "23201","A1"
+COPN: "23203","Magenta-T-"
+COPN: "23205","3 AT"
+COPN: "23207","telering"
+COPN: "23210","3 AT"
+COPN: "23213","Magenta-T-"
+COPN: "23401","UK01"
+COPN: "23403","Airtel-Vodafone"
+COPN: "23407","Cable&Wireless UK"
+COPN: "23409","PMN UK"
+COPN: "23410","O2 - UK"
+COPN: "23415","vodafone UK"
+COPN: "23416","Opal UK"
+COPN: "23420","3 UK"
+COPN: "23428","Marathon"
+COPN: "23430","EE"
+COPN: "23433","EE"
+COPN: "23450","JT"
+COPN: "23455","Sure"
+COPN: "23458","Manx Telecom"
+COPN: "23801","TDC"
+COPN: "23802","Telenor DK"
+COPN: "23806","3 DK"
+COPN: "23820","Telia DK"
+COPN: "23866","Telia-Telenor DK"
+COPN: "23877","Telenor DK"
+COPN: "24001","TELIA S"
+COPN: "24002","3 SE"
+COPN: "24004","SWEDEN"
+COPN: "24005","Sweden 3G"
+COPN: "24007","Tele2"
+COPN: "24008","Telenor SE"
+COPN: "24010","SpringMobil SE"
+COPN: "24024","Sweden Mobile"
+COPN: "24201","N Telenor"
+COPN: "24202","N NetCom"
+COPN: "24203","MTU"
+COPN: "24214","N ice"
+COPN: "24299","Tampnet"
+COPN: "24403","FI DNA"
+COPN: "24405","FI elisa"
+COPN: "24412","FI DNA"
+COPN: "24414","FI AMT"
+COPN: "24421","FI elisa"
+COPN: "24436","DNA - Telia FI"
+COPN: "24491","Telia FI"
+COPN: "24601","Telia LT"
+COPN: "24602","LT BITE GSM"
+COPN: "24603","Tele2 LT"
+COPN: "24701","LV LMT"
+COPN: "24702","Tele2 LV"
+COPN: "24705","BITE LV"
+COPN: "24801","Telia"
+COPN: "24802","Elisa EE"
+COPN: "24803","Tele2 EE"
+COPN: "25001","MTS RUS"
+COPN: "25002","MegaFon RUS"
+COPN: "25004","SIBCHALLENGE RUS"
+COPN: "25010","RUS DTC"
+COPN: "25013","RUS Kuban-GSM"
+COPN: "25020","Tele2 RU"
+COPN: "25027","LETAI"
+COPN: "25028","voda"
+COPN: "25035","MOTIV"
+COPN: "25099","Beeline"
+COPN: "25501","VODAFONE"
+COPN: "25502","Beeline UA"
+COPN: "25503","UA-KYIVSTAR"
+COPN: "25506","life:)"
+COPN: "25507","TriMob"
+COPN: "25701","BY VELCOM"
+COPN: "25702","MTS BY"
+COPN: "25704","life:) BY"
+COPN: "25901","Orange MD"
+COPN: "25902","Moldcell"
+COPN: "25904","MDA EVENTIS"
+COPN: "25905","UNITE"
+COPN: "25915","IDC"
+COPN: "26001","Plus"
+COPN: "26002","T-Mobile.pl"
+COPN: "26003","Orange PL"
+COPN: "26006","Play"
+COPN: "26201","Telekom.de"
+COPN: "26202","vodafone.de"
+COPN: "26203","o2 - de"
+COPN: "26207","o2 - de"
+COPN: "26601","GIBTEL"
+COPN: "26801","vodafone P"
+COPN: "26803","NOS"
+COPN: "26806","MEO"
+COPN: "27001","POST"
+COPN: "27077","L TANGO"
+COPN: "27099","L Orange-LU"
+COPN: "27201","vodafone IE"
+COPN: "27202","3"
+COPN: "27203","IRL - METEOR"
+COPN: "27205","3"
+COPN: "27401","IS SIMINN"
+COPN: "27402","Vodafone"
+COPN: "27404","Viking"
+COPN: "27408","IS OnWaves"
+COPN: "27411","NOVA IS"
+COPN: "27601","One.al"
+COPN: "27602","Voda AL"
+COPN: "27603","ALBtelecom"
+COPN: "27801","epic"
+COPN: "27821","go mobile"
+COPN: "27877","Melita Mobile"
+COPN: "28001","Cyta-Voda"
+COPN: "28010","epic"
+COPN: "28020","PrimeTel PLC"
+COPN: "28201","GEO-GEOCELL"
+COPN: "28202","MAGTI-GSM-GEO"
+COPN: "28204","BEELINE"
+COPN: "28300","ARM MTS"
+COPN: "28301","Beeline AM"
+COPN: "28305","MTS ARM"
+COPN: "28310","Ucom AM"
+COPN: "28401","A1 BG"
+COPN: "28403","Vivacom BG"
+COPN: "28405","Telenor BG"
+COPN: "28601","TR TURKCELL"
+COPN: "28602","Vodafone Turkiye"
